Run	Generation	LowerCI95%	Mean	UpperCI95%	StDev	Min	Median	Max	Range
1	1	68.6429125088236	83.164	97.6850874911764	7.408718107743063	89.0	70.0	51.0	38.0
1	2	56.64158735404669	76.742	96.84241264595332	10.255312574465977	89.0	67.0	45.0	44.0
1	3	48.933057500971074	72.982	97.03094249902892	12.269868621953535	89.0	58.5	28.0	61.0
1	4	37.52402969486012	67.906	98.2879703051399	15.501005257724431	89.0	58.5	28.0	61.0
1	5	26.78579166320396	62.836	98.88620833679605	18.392963437140835	89.0	58.5	28.0	61.0
2	1	68.53343036577539	83.148	97.7625696342246	7.456413078686023	89.0	57.5	26.0	63.0
2	2	54.97246462443047	76.238	97.50353537556953	10.849762946719146	89.0	57.5	26.0	63.0
2	3	45.19489767535759	72.07	98.94510232464239	13.711786900327757	89.0	56.5	24.0	65.0
2	4	35.074593688694165	67.656	100.23740631130585	16.623166485360123	89.0	54.5	20.0	69.0
2	5	16.95753774345779	59.17	101.38246225654221	21.53697053905215	89.0	53.5	18.0	71.0
