Generation	ProgID	Fitness	BScore	SatCount	NodeCount	Similarity%	Waste%	Depth	Length	Functions	Terminals	DTerminals	ModD
50	15345591	0.0	0.0	0.5	9	100.0	92.7927927927928	17	444	209	235	5	13
49	9460493	0.0	0.0	0.5	9	99.32432432432432	92.7765237020316	17	443	209	234	5	11
48	32516939	0.0	0.0	0.5	9	98.64864864864865	92.7437641723356	17	441	209	232	5	11
47	17207040	0.0	0.0	0.5	9	90.54054054054053	92.13759213759214	17	407	195	212	5	14
46	4398493	0.0	0.0	0.5	9	90.31531531531532	92.1760391198044	17	409	196	213	5	8
45	21397885	0.0	0.0	0.5	9	89.86486486486487	92.21411192214111	17	411	196	215	5	15
44	746976	0.0	0.0	0.5	9	89.86486486486487	92.27053140096618	17	414	197	217	5	8
43	17972289	0.0	0.0	0.5	9	89.21348314606742	92.80898876404494	17	445	213	232	5	0
42	16906758	0.0	0.0	0.5	9	89.21348314606742	92.80898876404494	17	445	213	232	5	9
41	17892731	0.0	0.0	0.5	9	88.73873873873875	92.7927927927928	17	444	213	231	5	0
40	8498575	0.0	0.0	0.5	9	88.73873873873875	92.7927927927928	17	444	213	231	5	0
39	19427002	0.0	0.0	0.5	9	88.73873873873875	92.7927927927928	17	444	213	231	5	11
38	27646656	0.0	0.0	0.5	9	88.06306306306307	92.7765237020316	17	443	213	230	5	13
37	30969189	0.0	0.0	0.5	9	87.38738738738738	92.7765237020316	17	443	213	230	5	13
36	17960685	0.0	0.0	0.5	9	86.93693693693693	92.7927927927928	17	444	213	231	5	20
50	13995785	0.0	0.0	0.5	9	100.0	93.48268839103869	17	491	236	255	5	11
49	17564614	0.0	0.0	0.5	9	99.39024390243902	93.4959349593496	17	492	236	256	5	11
48	30533386	0.0	0.0	0.5	9	95.46351084812623	93.68836291913215	17	507	243	264	5	8
47	19425177	0.0	0.0	0.5	9	95.24752475247524	93.66336633663367	17	505	242	263	5	5
46	11605581	0.0	0.0	0.5	9	84.928716904277	92.7765237020316	17	443	212	231	5	10
45	8786515	0.0	0.0	0.5	9	84.72505091649694	92.80898876404494	17	445	213	232	5	5
44	32190111	0.0	0.0	0.5	9	84.11405295315683	92.80898876404494	17	445	213	232	5	20
50	10592385	0.0	0.0	0.5	9	100.0	94.52054794520548	17	584	276	308	5	5
49	5430994	0.0	0.0	0.5	9	99.48630136986301	94.50171821305841	17	582	275	307	5	8
48	14994305	0.0	0.0	0.5	9	97.77397260273972	94.43478260869566	17	575	273	302	5	5
47	13086685	0.0	0.0	0.5	9	90.06849315068493	93.99624765478424	17	533	253	280	5	11
46	5249001	0.0	0.0	0.5	9	89.8972602739726	94.01869158878505	17	535	254	281	5	14
45	29548296	0.0	0.0	0.5	9	87.84246575342466	93.91634980988593	17	526	250	276	5	12
44	33147961	0.0	0.0	0.5	9	87.15753424657534	93.9047619047619	17	525	250	275	5	14
43	31996673	0.0	0.0	0.5	9	86.64383561643835	93.88145315487571	17	523	249	274	5	9
42	21963694	0.0	0.0	0.5	9	86.47260273972603	93.88145315487571	17	523	249	274	5	9
41	17264786	0.0	0.0	0.5	9	85.27397260273972	93.81044487427465	17	517	246	271	5	11
40	7916459	0.0	0.0	0.5	9	79.62328767123287	93.44262295081968	15	488	231	257	5	9
