Generation	True-Neutral	Behaviour-Neutral	Both-Increase	Fitness-Increase	Fitness-Increase-Behaviour-Decrease	Behaviour-Increase	Behaviour-Increase-Fitness-Decrease	Both-Decrease	Fitness-Same-Behaviour-Same	Unclassified
1	2	55	50	0	0	0	0	159	144	0
2	8	52	36	0	0	0	0	225	87	0
3	6	57	31	0	0	0	0	235	63	0
4	12	87	39	0	0	0	0	226	54	0
5	4	93	27	0	0	0	0	230	38	0
6	6	131	17	0	0	0	0	218	32	0
7	8	136	7	0	0	0	0	237	28	0
8	11	144	13	0	0	0	0	225	23	0
9	4	175	9	0	0	0	0	206	16	0
10	10	192	5	0	0	0	0	194	5	0
11	14	180	4	0	0	0	0	208	4	0
12	5	175	7	0	0	0	0	212	7	0
13	4	195	2	0	0	0	0	212	3	0
14	15	185	0	0	0	0	0	211	1	0
15	13	195	0	0	0	0	0	202	0	0
16	16	189	0	0	0	0	0	205	0	0
17	7	206	0	0	0	0	0	201	0	0
18	14	196	0	0	0	0	0	190	0	0
19	2	200	0	0	0	0	0	202	0	0
20	13	194	0	0	0	0	0	193	0	0
21	8	211	0	0	0	0	0	187	0	0
22	7	209	0	0	0	0	0	194	0	0
23	17	216	0	0	0	0	0	161	0	0
24	25	216	0	0	0	0	0	183	0	0
25	12	236	0	0	0	0	0	152	0	0
26	23	236	0	0	0	0	0	159	0	0
27	23	228	0	0	0	0	0	145	0	0
28	21	218	0	0	0	0	0	161	0	0
29	26	256	0	0	0	0	0	126	0	0
30	30	268	0	0	0	0	0	106	0	0
31	24	251	0	0	0	0	0	115	0	0
32	32	262	0	0	0	0	0	120	0	0
33	27	279	0	0	0	0	0	104	0	0
34	49	276	0	0	0	0	0	83	0	0
35	31	275	0	0	0	0	0	104	0	0
36	34	269	0	0	0	0	0	93	0	0
37	35	291	0	0	0	0	0	92	0	0
38	31	288	0	0	0	0	0	91	0	0
39	32	286	0	0	0	0	0	100	0	0
40	32	291	0	0	0	0	0	79	0	0
41	38	308	0	0	0	0	0	62	0	0
42	28	295	0	0	0	0	0	71	0	0
43	41	300	0	0	0	0	0	67	0	0
44	37	300	0	0	0	0	0	63	0	0
45	40	300	0	0	0	0	0	76	0	0
46	25	290	0	0	0	0	0	63	0	0
47	36	298	0	0	0	0	0	66	0	0
48	29	313	0	0	0	0	0	68	0	0
49	34	310	0	0	0	0	0	62	0	0
50	54	294	0	0	0	0	0	62	0	0
