G	P1D	P1L	P1Fs	P1Ts	P1DTs	P1Fit	P1Behav	P2D	P2L	P2Fs	P2Ts	P2DTs	P2Fit	P2Behav	CD	CL	CFs	CTs	CDTs	CFit	CBehav	Mod_D
1	1	3	1	2	2	10.0	31.25	4	10	4	6	5	8.0	25.0	4	10	4	6	5	8.0	25.0	1
1	2	8	3	5	3	8.0	25.0	2	7	3	4	4	10.0	31.25	3	10	4	6	5	5.0	15.625	2
1	2	8	3	5	3	8.0	25.0	2	7	3	4	4	10.0	31.25	2	5	2	3	3	8.0	25.0	1
1	4	50	20	30	5	8.0	25.0	1	4	1	3	3	10.0	31.25	2	7	2	5	4	8.0	25.0	1
1	3	8	3	5	2	10.0	31.25	2	6	2	4	3	8.0	25.0	2	6	2	4	3	8.0	25.0	1
1	2	6	2	4	4	10.0	31.25	2	10	4	6	4	8.0	25.0	2	5	2	3	3	8.0	25.0	2
1	2	7	3	4	4	10.0	31.25	3	9	4	5	4	8.0	25.0	2	5	2	3	3	8.0	25.0	1
1	3	8	3	5	4	10.0	31.25	1	4	1	3	2	10.0	31.25	3	9	3	6	3	8.0	25.0	3
1	1	4	1	3	3	10.0	31.25	2	6	2	4	3	8.0	25.0	2	6	2	4	3	8.0	25.0	1
1	3	9	4	5	4	8.0	25.0	2	5	2	3	3	8.0	25.0	3	9	4	5	5	7.0	21.875	3
1	1	3	1	2	2	10.0	31.25	2	5	2	3	3	8.0	25.0	2	5	2	3	3	8.0	25.0	1
1	5	25	13	12	4	10.0	31.25	3	9	4	5	4	8.0	25.0	5	11	6	5	5	7.0	21.875	3
1	3	8	3	5	2	10.0	31.25	5	57	29	28	5	9.0	28.125	5	54	26	28	5	7.0	21.875	2
1	2	6	2	4	2	10.0	31.25	1	4	1	3	3	10.0	31.25	3	9	3	6	4	8.0	25.0	2
1	1	4	1	3	3	10.0	31.25	2	5	2	3	3	8.0	25.0	2	5	2	3	3	8.0	25.0	1
1	2	5	2	3	3	8.0	25.0	5	57	29	28	5	9.0	28.125	5	56	28	28	5	7.0	21.875	4
1	4	10	4	6	5	8.0	25.0	2	6	2	4	2	10.0	31.25	4	10	4	6	4	8.0	25.0	2
1	3	9	4	5	4	8.0	25.0	2	6	2	4	4	10.0	31.25	5	14	6	8	5	8.0	25.0	2
1	3	9	4	5	4	8.0	25.0	2	5	2	3	3	8.0	25.0	3	9	4	5	5	7.0	21.875	3
1	2	6	2	4	4	10.0	31.25	3	17	8	9	4	8.0	25.0	3	12	5	7	4	8.0	25.0	2
1	3	8	3	5	2	10.0	31.25	5	57	29	28	5	9.0	28.125	2	5	2	3	3	8.0	25.0	2
1	3	8	3	5	2	10.0	31.25	5	57	29	28	5	9.0	28.125	6	60	30	30	5	8.0	25.0	5
1	2	5	2	3	3	8.0	25.0	2	6	2	4	4	10.0	31.25	3	7	3	4	4	8.0	25.0	2
1	2	5	2	3	2	10.0	31.25	5	122	58	64	5	10.0	31.25	5	121	57	64	5	9.0	28.125	4
1	4	12	6	6	4	8.0	25.0	5	57	29	28	5	9.0	28.125	7	61	32	29	5	8.0	25.0	4
