G	P1PT	P1SC	P1NC	P2PT	P2SC	P2NC	CPT	CSC	CNC
1	4.0	0.5	6	3.0	0.625	4	4.0	0.4375	6
1	4.0	0.5	6	3.0	0.625	4	2.0	0.75	2
1	1.0	0.25	2	3.0	0.5625	5	3.0	0.5625	5
1	1.0	0.25	2	3.0	0.5625	5	1.0	0.25	2
1	2.0	0.375	3	3.0	0.8125	4	7.0	0.53125	7
1	2.0	0.375	3	3.0	0.8125	4	2.0	0.625	3
1	8.0	0.625	9	3.0	0.5	4	8.0	0.65625	8
1	8.0	0.625	9	3.0	0.5	4	4.0	0.375	7
1	1.0	0.25	2	1.0	0.25	2	1.0	0.25	2
1	1.0	0.25	2	1.0	0.25	2	1.0	0.5	1
1	2.0	0.375	3	5.0	0.8125	5	2.0	0.375	4
1	2.0	0.375	3	5.0	0.8125	5	2.0	0.75	2
1	2.0	0.75	2	2.0	0.375	4	2.0	0.375	4
1	2.0	0.75	2	2.0	0.375	4	2.0	0.75	2
1	7.0	0.5625	10	2.0	0.375	3	7.0	0.5625	10
1	7.0	0.5625	10	2.0	0.375	3	1.0	0.5	1
1	2.0	0.75	2	1.0	0.5	1	2.0	0.75	2
1	2.0	0.75	2	1.0	0.5	1	2.0	0.75	2
1	2.0	0.75	2	1.0	0.5	1	1.0	0.5	1
1	2.0	0.75	2	1.0	0.5	1	2.0	0.75	2
1	3.0	0.25	5	3.0	0.625	4	2.0	0.375	3
1	3.0	0.25	5	3.0	0.625	4	4.0	0.5	6
1	2.0	0.75	2	7.0	0.5625	10	2.0	0.75	2
1	2.0	0.75	2	7.0	0.5625	10	7.0	0.5625	10
1	9.0	0.5	11	3.0	0.625	3	2.0	0.75	2
1	9.0	0.5	11	3.0	0.625	3	3.0	0.625	3
1	3.0	0.625	4	3.0	0.8125	4	7.0	0.6875	8
1	3.0	0.625	4	3.0	0.8125	4	1.0	1.0	0
1	1.0	0.5	1	9.0	0.5	11	1.0	0.5	1
1	1.0	0.5	1	9.0	0.5	11	2.0	0.625	3
1	5.0	0.8125	5	2.0	0.375	4	3.0	0.625	3
1	5.0	0.8125	5	2.0	0.375	4	3.0	0.4375	5
1	3.0	0.625	4	2.0	0.75	2	3.0	0.625	4
1	3.0	0.625	4	2.0	0.75	2	2.0	0.75	2
1	2.0	0.75	2	2.0	0.375	4	2.0	0.75	2
1	2.0	0.75	2	2.0	0.375	4	3.0	0.1875	7
1	3.0	0.25	6	2.0	0.75	2	2.0	0.375	4
1	3.0	0.25	6	2.0	0.75	2	1.0	0.25	2
1	2.0	0.375	4	2.0	0.375	3	2.0	0.375	3
1	2.0	0.375	4	2.0	0.375	3	2.0	0.375	4
1	3.0	0.5	4	2.0	0.375	4	2.0	0.375	4
1	3.0	0.5	4	2.0	0.375	4	3.0	0.5	4
1	2.0	0.375	4	2.0	0.375	3	4.0	0.28125	6
1	2.0	0.375	4	2.0	0.375	3	2.0	0.375	4
1	1.0	0.5	1	1.0	0.25	2	1.0	0.25	2
1	1.0	0.5	1	1.0	0.25	2	1.0	0.5	1
1	9.0	0.5	11	3.0	0.625	4	2.0	0.625	3
1	9.0	0.5	11	3.0	0.625	4	1.0	0.5	1
1	3.0	0.8125	4	2.0	0.75	2	1.0	0.5	1
1	3.0	0.8125	4	2.0	0.75	2	2.0	0.75	2
1	2.0	0.75	2	4.0	0.75	5	2.0	0.75	2
1	2.0	0.75	2	4.0	0.75	5	5.0	0.78125	7
1	1.0	0.25	2	2.0	0.375	3	2.0	0.375	3
1	1.0	0.25	2	2.0	0.375	3	1.0	0.25	2
1	3.0	0.25	6	5.0	0.8125	5	2.0	0.1875	4
1	3.0	0.25	6	5.0	0.8125	5	3.0	0.875	3
1	12.0	0.65625	12	3.0	0.5	4	10.0	0.5625	12
1	12.0	0.65625	12	3.0	0.5	4	1.0	0.5	1
1	1.0	0.25	2	2.0	0.75	2	1.0	0.25	2
1	1.0	0.25	2	2.0	0.75	2	5.0	0.8125	6
1	3.0	0.625	4	2.0	0.75	2	3.0	0.625	4
1	3.0	0.625	4	2.0	0.75	2	2.0	0.5	3
1	1.0	0.5	1	2.0	0.375	4	1.0	0.5	1
1	1.0	0.5	1	2.0	0.375	4	4.0	0.28125	6
1	3.0	0.25	5	3.0	0.25	5	3.0	0.5	4
1	3.0	0.25	5	3.0	0.25	5	3.0	0.25	5
1	2.0	0.75	2	5.0	0.34375	10	3.0	0.875	3
1	2.0	0.75	2	5.0	0.34375	10	5.0	0.40625	9
1	1.0	0.5	1	2.0	0.75	2	1.0	0.5	1
1	1.0	0.5	1	2.0	0.75	2	2.0	0.75	2
1	2.0	0.75	2	3.0	0.25	6	3.0	0.875	3
1	2.0	0.75	2	3.0	0.25	6	2.0	0.25	5
1	7.0	0.5625	10	1.0	0.5	1	7.0	0.5625	10
1	7.0	0.5625	10	1.0	0.5	1	1.0	0.5	1
1	6.0	0.71875	7	4.0	0.5	6	6.0	0.71875	7
1	6.0	0.71875	7	4.0	0.5	6	1.0	0.5	1
1	2.0	0.75	2	3.0	0.625	3	2.0	0.75	2
1	2.0	0.75	2	3.0	0.625	3	2.0	0.75	2
1	2.0	0.5	3	3.0	0.5	4	3.0	0.5	4
1	2.0	0.5	3	3.0	0.5	4	2.0	0.5	3
1	2.0	0.5	3	2.0	0.375	4	2.0	0.75	2
1	2.0	0.5	3	2.0	0.375	4	2.0	0.375	4
1	3.0	0.5625	5	2.0	0.375	3	2.0	0.5	3
1	3.0	0.5625	5	2.0	0.375	3	1.0	0.125	3
1	2.0	0.375	3	3.0	0.625	4	1.0	0.5	1
1	2.0	0.375	3	3.0	0.625	4	3.0	0.625	4
1	2.0	0.75	2	2.0	0.5	3	2.0	0.5	3
1	2.0	0.75	2	2.0	0.5	3	2.0	0.75	2
1	1.0	0.5	1	2.0	0.375	3	1.0	0.5	1
1	1.0	0.5	1	2.0	0.375	3	1.0	0.5	1
1	2.0	0.375	3	7.0	0.5625	10	1.0	0.25	2
1	2.0	0.375	3	7.0	0.5625	10	6.0	0.59375	9
1	2.0	0.75	2	3.0	0.625	4	7.0	0.90625	6
1	2.0	0.75	2	3.0	0.625	4	1.0	0.5	1
1	3.0	0.25	6	2.0	0.375	3	1.0	0.25	2
1	3.0	0.25	6	2.0	0.375	3	2.0	0.375	4
1	2.0	0.375	3	8.0	0.625	9	1.0	0.5	1
1	2.0	0.375	3	8.0	0.625	9	8.0	0.625	9
1	2.0	0.75	2	3.0	0.5	4	3.0	0.625	4
1	2.0	0.75	2	3.0	0.5	4	1.0	0.5	1
1	3.0	0.5	4	5.0	0.34375	10	1.0	0.25	2
1	3.0	0.5	4	5.0	0.34375	10	4.0	0.40625	9
1	3.0	0.5	4	2.0	0.375	3	2.0	0.375	3
1	3.0	0.5	4	2.0	0.375	3	3.0	0.5	4
1	3.0	0.5625	5	1.0	0.5	1	3.0	0.625	4
1	3.0	0.5625	5	1.0	0.5	1	3.0	0.4375	4
1	4.0	0.75	5	1.0	0.5	1	4.0	0.75	5
1	4.0	0.75	5	1.0	0.5	1	1.0	0.5	1
1	3.0	0.5625	5	2.0	0.75	2	4.0	0.46875	7
1	3.0	0.5625	5	2.0	0.75	2	3.0	0.6875	4
1	3.0	0.25	5	3.0	0.625	3	1.0	0.25	2
1	3.0	0.25	5	3.0	0.625	3	1.0	0.5	1
1	1.0	0.5	1	3.0	0.25	6	1.0	0.5	1
1	1.0	0.5	1	3.0	0.25	6	1.0	0.25	2
1	9.0	0.5	11	3.0	0.625	3	1.0	0.25	2
1	9.0	0.5	11	3.0	0.625	3	3.0	0.875	3
1	3.0	0.8125	4	3.0	0.5	4	5.0	0.8125	5
1	3.0	0.8125	4	3.0	0.5	4	1.0	0.5	1
1	9.0	0.5	11	1.0	0.25	2	1.0	0.5	1
1	9.0	0.5	11	1.0	0.25	2	1.0	0.5	1
1	2.0	0.375	3	5.0	0.34375	10	2.0	0.375	4
1	2.0	0.375	3	5.0	0.34375	10	5.0	0.40625	9
1	4.0	0.75	5	1.0	0.5	1	2.0	0.75	2
1	4.0	0.75	5	1.0	0.5	1	2.0	0.5	3
1	1.0	0.5	1	2.0	0.75	2	2.0	0.75	2
1	1.0	0.5	1	2.0	0.75	2	1.0	0.5	1
1	3.0	0.5	4	3.0	0.15625	6	1.0	0.5	1
1	3.0	0.5	4	3.0	0.15625	6	2.0	0.09375	6
1	3.0	0.8125	4	3.0	0.625	3	1.0	0.25	2
1	3.0	0.8125	4	3.0	0.625	3	3.0	0.875	3
1	3.0	0.625	3	1.0	0.5	1	1.0	1.0	0
1	3.0	0.625	3	1.0	0.5	1	2.0	0.75	2
1	4.0	0.75	5	5.0	0.8125	5	4.0	0.75	5
1	4.0	0.75	5	5.0	0.8125	5	2.0	0.75	2
1	3.0	0.5625	5	2.0	0.75	2	3.0	0.625	4
1	3.0	0.5625	5	2.0	0.75	2	5.0	0.625	7
1	2.0	0.375	4	3.0	0.25	5	1.0	0.5	1
1	2.0	0.375	4	3.0	0.25	5	2.0	0.3125	4
1	2.0	0.375	3	1.0	0.25	2	1.0	0.25	2
1	2.0	0.375	3	1.0	0.25	2	2.0	0.75	2
1	1.0	0.5	1	3.0	0.25	6	3.0	0.25	6
1	1.0	0.5	1	3.0	0.25	6	4.0	0.9375	4
1	1.0	0.25	2	2.0	0.375	3	1.0	0.5	1
1	1.0	0.25	2	2.0	0.375	3	1.0	0.5	1
1	2.0	0.375	4	2.0	0.375	3	4.0	0.28125	6
1	2.0	0.375	4	2.0	0.375	3	2.0	0.375	4
1	3.0	0.5	4	2.0	0.75	2	2.0	0.75	2
1	3.0	0.5	4	2.0	0.75	2	3.0	0.5	4
1	2.0	0.375	4	3.0	0.8125	4	1.0	0.25	2
1	2.0	0.375	4	3.0	0.8125	4	4.0	0.84375	6
1	1.0	0.5	1	2.0	0.375	4	2.0	0.75	2
1	1.0	0.5	1	2.0	0.375	4	2.0	0.375	4
1	3.0	0.8125	4	3.0	0.625	4	2.0	0.5	3
1	3.0	0.8125	4	3.0	0.625	4	4.0	0.6875	6
1	3.0	0.5	4	2.0	0.75	2	2.0	0.75	2
1	3.0	0.5	4	2.0	0.75	2	1.0	0.5	1
1	2.0	0.375	3	5.0	0.34375	10	1.0	0.5	1
1	2.0	0.375	3	5.0	0.34375	10	5.0	0.28125	9
1	4.0	0.5	6	3.0	0.5625	5	3.0	0.5625	5
1	4.0	0.5	6	3.0	0.5625	5	3.0	0.875	3
1	2.0	0.75	2	5.0	0.34375	10	3.0	0.625	4
1	2.0	0.75	2	5.0	0.34375	10	3.0	0.4375	5
1	7.0	0.5625	10	1.0	0.5	1	7.0	0.5625	10
1	7.0	0.5625	10	1.0	0.5	1	3.0	0.4375	4
1	2.0	0.75	2	3.0	0.25	5	2.0	0.75	2
1	2.0	0.75	2	3.0	0.25	5	1.0	0.25	2
1	4.0	0.75	5	1.0	0.25	2	1.0	0.5	1
1	4.0	0.75	5	1.0	0.25	2	2.0	0.5	3
1	4.0	0.5	6	2.0	0.375	3	3.0	0.3125	5
1	4.0	0.5	6	2.0	0.375	3	2.0	0.75	2
1	2.0	0.375	4	1.0	0.25	2	1.0	0.125	3
1	2.0	0.375	4	1.0	0.25	2	3.0	0.5	4
1	2.0	0.375	3	4.0	0.75	5	2.0	0.5	3
1	2.0	0.375	3	4.0	0.75	5	5.0	0.6875	4
1	4.0	0.5	6	2.0	0.375	3	1.0	0.25	2
1	4.0	0.5	6	2.0	0.375	3	6.0	0.75	5
1	2.0	0.375	3	3.0	0.625	4	3.0	0.5	4
1	2.0	0.375	3	3.0	0.625	4	2.0	0.5	3
1	4.0	0.75	5	2.0	0.375	3	4.0	0.75	5
1	4.0	0.75	5	2.0	0.375	3	1.0	0.5	1
